"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","24.234","GWh","Normal","","90","Electricity Imported from Iran"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_010000","......9 Electricity Generation by Mixed","0","GWh","Normal","","100","Electricity Generation by Mixed"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_011000","......10 Electricity Generation by Wind","410.229","GWh","Normal","","110","Electricity Generation by Wind"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_012000","......11 Electricity Generation by bagasse","34.517","GWh","Normal","","120","Electricity Generation by bagasse"
"Generation of Electricity by Sector","30-Sep-2023","TS_GP_RLS_ELECGEN_M.E_013000","......12 Electricity Generation by Solar","78.793","GWh","Normal","","130","Electricity Generation by Solar"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_001000",". Total Electricity Generation by all Sources","15959.27","GWh","Normal","","10","Total Electricity Generation by all sources"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_002000","......1 Electricity Generation by Hydel","6005.5","GWh","Normal","","20","Electricity Generation by Hydel"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_003000","......2 Electricity Generation by Coal","2357.23","GWh","Normal","","30","Electricity Generation by Coal"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_004000","......3 Electricity Generation by High Speed Diesel (HSD)","0","GWh","Normal","","40","Electricity Generation by High Speed Diesel (HSD)"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_005000","......4 Electricity Generation by Residual Fuel Oil (RFO)","649.164","GWh","Normal","","50","Electricity Generation by Residual Fuel Oil (RFO)"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_006000","......5 Electricity Generation by Gas","1213.61","GWh","Normal","","60","Electricity Generation by Gas"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_007000","......6 Electricity Generation by Regasification Liquefied Natural Gas(RLNG)","2740.59","GWh","Normal","","70","Electricity Generation by Regasification Liquefied Natural Gas(RLNG)"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_008000","......7 Electricity Generation by Nuclear","2040.45","GWh","Normal","","80","Electricity Generation by Nuclear"
"Generation of Electricity by Sector","31-Aug-2023","TS_GP_RLS_ELECGEN_M.E_009000","......8 Electricity imported from Iran","26.199","GWh","Normal","","90","Electricity Imported from Iran"
